Variant,Status,Hand,Strategy Hold,Rule Hit,Optimal Hold,Strategy EV,Optimal EV,Diff,Description
NSUD,PASS,2s 2c 2h 2d As,2c 2d 2h 2s,4 DEUCES,2c 2d 2h 2s,1000.0000,1000.0000,0.0000,Natural Royal (Impossible check)
NSUD,PASS,2s 2c 2h 2d 5s,2c 2d 2h 2s,4 DEUCES,2c 2d 2h 2s,1000.0000,1000.0000,0.0000,4 Deuces
NSUD,FAIL,2s 2c 2h Ts Qs,2c 2h 2s,3 DEUCES,2c 2h 2s Qs Ts,80.0324,125.0000,44.9676,Wild Royal (Pat)
NSUD,PASS,2s 2c 2h 9s 9d,2c 2h 2s 9d 9s,FIVE OF A KIND,2c 2h 2s 9d 9s,80.0000,80.0000,0.0000,5 of a Kind (6-K) -> Holds 3 Deuces
NSUD,FAIL,2s 2c 2h 3s 3d,2c 2h 2s 3d 3s,FIVE OF A KIND,2c 2h 2s,80.0000,80.3793,0.3793,5 of a Kind (3-5) -> Holds 3 Deuces
NSUD,PASS,2s 2c 2h 4s 7d,2c 2h 2s,3 DEUCES,2c 2h 2s,79.9352,79.9352,0.0000,3 Deuces (Generic)
NSUD,FAIL,2s 2c Ts Qs Ks,2c 2s,2 DEUCES,2c 2s Ks Qs Ts,17.1714,125.0000,107.8286,Wild Royal (Pat)
NSUD,PASS,2s 2c 6h 6d 6s,2c 2s 6d 6h 6s,FIVE OF A KIND,2c 2s 6d 6h 6s,80.0000,80.0000,0.0000,5 of a Kind (Pat)
NSUD,FAIL,2s 2c 7h 8h 9h,2c 2s,2 DEUCES,2c 2s 7h 8h 9h,16.9664,125.0000,108.0336,Straight Flush (Pat)
NSUD,PASS,2s 2c 7h 8h 5d,2c 2s 7h 8h,4 TO STRAIGHT FLUSH,2c 2s 7h 8h,30.0000,30.0000,0.0000,4 to Straight Flush (Conn)
NSUD,PASS,2s 2c 4h 8h 3s,2c 2s 4h 8h,4 TO STRAIGHT FLUSH,2c 2s 4h 8h,22.1277,22.1277,0.0000,2 Deuces (Generic)
NSUD,PASS,2s Ts Js Qs Ks,2s Js Ks Qs Ts,WILD ROYAL,2s Js Ks Qs Ts,125.0000,125.0000,0.0000,Wild Royal (Pat)
NSUD,PASS,2s 5h 5d 5s 5c,2s 5c 5d 5h 5s,FIVE OF A KIND,2s 5c 5d 5h 5s,80.0000,80.0000,0.0000,5 of a Kind
NSUD,FAIL,2s 5h 6h 7h 8h,2s,1 DEUCE,2s 5h 6h 7h 8h,5.4310,125.0000,119.5690,Straight Flush (Pat)
NSUD,PASS,2s 5h 6h 7h 9s,2s 5h 6h 7h,4 TO STRAIGHT FLUSH,2s 5h 6h 7h,23.5106,23.5106,0.0000,4 to Straight Flush (Conn)
NSUD,FAIL,2s 9h 4h Th 3h,2s,1 DEUCE,2s 3h 4h 9h Th,5.2010,15.0000,9.7990,Flush (Pat)
NSUD,PASS,2s Ts Js Qs 4d,2s Js Qs Ts,4 TO ROYAL,2s Js Qs Ts,23.7234,23.7234,0.0000,3 to Royal (TJQ)
NSUD,FAIL,2s 5h 6h 7d 8c,2s 5h 6h,3 TO STRAIGHT FLUSH CONN,2s 5h 6h 7d 8c,6.8316,10.0000,3.1684,Straight (Pat)
NSUD,PASS,2s 5h 6h 9s Td,2s 5h 6h,3 TO STRAIGHT FLUSH CONN,2s 5h 6h,7.0213,7.0213,0.0000,"3 to Straight Flush (Conn 5,6)"
NSUD,PASS,2s 5h 7h 9s Td,2s 5h 7h,3 TO STRAIGHT FLUSH CONN,2s 5h 7h,7.0213,7.0213,0.0000,"3 to Straight Flush (Gap 5,7)"
NSUD,PASS,2s 5h 5d 9s Ts,2s 5d 5h,3 OF A KIND,2s 5d 5h,9.4403,9.4403,0.0000,3 of a Kind (Deuce + Pair)
NSUD,PASS,2s 4h 7d 9c Jk,2s,1 DEUCE,2s,5.1080,5.0680,-0.0400,1 Deuce (Generic)
NSUD,PASS,As Ks Qs Js Ts,As Js Ks Qs Ts,NATURAL ROYAL,As Js Ks Qs Ts,4000.0000,4000.0000,0.0000,Natural Royal
NSUD,PASS,As Ks Qs Js 9h,As Js Ks Qs,4 TO ROYAL,As Js Ks Qs,98.6170,98.6170,0.0000,4 to Royal
NSUD,PASS,9s 8s 7s 6s 5s,5s 6s 7s 8s 9s,STRAIGHT FLUSH,5s 6s 7s 8s 9s,50.0000,50.0000,0.0000,Straight Flush (Pat)
NSUD,FAIL,9s 8s 7s 6s 2h,2h,1 DEUCE,2h 6s 7s 8s 9s,5.7080,125.0000,119.2920,4 to Straight Flush (Conn)
NSUD,PASS,As Ks Qs 9d 8c,As Ks Qs,3 TO ROYAL,As Ks Qs,6.7623,6.7623,0.0000,3 to Royal
NSUD,PASS,8s 8c 8h 4d 4s,4d 4s 8c 8h 8s,FULL HOUSE,4d 4s 8c 8h 8s,20.0000,20.0000,0.0000,Full House
NSUD,FAIL,Ks 8s 4s 3s 2h,2h,1 DEUCE,2h 3s 4s 8s Ks,5.7070,15.0000,9.2930,Flush (Pat)
NSUD,PASS,4s 5d 6c 7h 8s,4s 5d 6c 7h 8s,STRAIGHT,4s 5d 6c 7h 8s,10.0000,10.0000,0.0000,Straight (Pat)
NSUD,PASS,8s 8c 8h 4d 5s,8c 8h 8s,3 OF A KIND,8c 8h 8s,9.4403,9.4403,0.0000,3 of a Kind
NSUD,PASS,Qs Ks 4s 8s 9d,4s 8s Ks Qs,4 TO FLUSH,4s 8s Ks Qs,3.8298,3.8298,0.0000,4 to Flush
NSUD,PASS,8s 8c 4d 5s 6h,8c 8s,ANY PAIR,8c 8s,2.7339,2.7339,0.0000,Pair (Generic)
NSUD,FAIL,4s 5c 6d 7h 9s,,DISCARD ALL,4s 5c 6d 7h,1.6813,2.5532,0.8719,4 to Straight (Open)
NSUD,FAIL,As Ks 4d 5c 6h,As Ks,2 TO ROYAL,,1.5874,1.6917,0.1042,2 to Royal
NSUD,PASS,As 4d 5c 8h 9s,,DISCARD ALL,,1.6747,1.6297,-0.0450,Discard All
BONUS_DEUCES_10_4,PASS,2s 2c 2h 2d As,2c 2d 2h 2s As,4 DEUCES ACE,2c 2d 2h 2s As,2000.0000,2000.0000,0.0000,4 Deuces + Ace (Pays 400)
BONUS_DEUCES_10_4,PASS,2s 2c 2h 2d 5s,2c 2d 2h 2s,4 DEUCES,2c 2d 2h 2s,1085.1064,1085.1064,0.0000,4 Deuces (Pays 200)
BONUS_DEUCES_10_4,FAIL,2s 2c 2h Ah As,2c 2h 2s,3 DEUCES,2c 2h 2s Ah As,85.0231,400.0000,314.9769,5 Aces (Pays 80)
BONUS_DEUCES_10_4,FAIL,2s 2c 2h 4s 4d,2c 2h 2s,3 DEUCES,2c 2h 2s 4d 4s,87.9926,200.0000,112.0074,5 3s-5s (Pays 40)
BONUS_DEUCES_10_4,FAIL,2s 2c 2h Ts Js,2c 2h 2s,3 DEUCES,2c 2h 2s Js Ts,88.1869,125.0000,36.8131,Wild Royal (Pays 25) vs 3 Deuces
BONUS_DEUCES_10_4,FAIL,2s 2c 2h 6s 6d,2c 2h 2s,3 DEUCES,2c 2h 2s 6d 6s,88.2609,100.0000,11.7391,5 6-K (Pays 20) vs 3 Deuces
BONUS_DEUCES_10_4,PASS,2s 2c 2h 4s 7d,2c 2h 2s,3 DEUCES,2c 2h 2s,87.9093,87.9093,0.0000,3 Deuces
BONUS_DEUCES_10_4,FAIL,2s 2c As Ad Ah,2c 2s,2 DEUCES,2c 2s Ad Ah As,16.9652,400.0000,383.0348,5 Aces (Pays 80)
BONUS_DEUCES_10_4,FAIL,2s 2c 4s 4d 4h,2c 2s,2 DEUCES,2c 2s 4d 4h 4s,17.3457,200.0000,182.6543,5 3s-5s (Pays 40)
BONUS_DEUCES_10_4,FAIL,2s 2c Ts Qs Ks,2c 2s,2 DEUCES,2c 2s Ks Qs Ts,17.3645,125.0000,107.6355,Wild Royal (Pays 25)
BONUS_DEUCES_10_4,FAIL,2s 2c 6h 6d 6s,2c 2s,2 DEUCES,2c 2s 6d 6h 6s,17.3241,100.0000,82.6759,5 6-K (Pays 20)
BONUS_DEUCES_10_4,FAIL,2s 2c 7h 8h 9h,2c 2s,2 DEUCES,2c 2s 7h 8h 9h,17.2251,125.0000,107.7749,Straight Flush (Pat)
BONUS_DEUCES_10_4,PASS,2s 2c 7h 8h 5d,2c 2s 7h 8h,4 TO STRAIGHT FLUSH,2c 2s 7h 8h,28.1915,28.1915,0.0000,4 to Straight Flush (Conn)
BONUS_DEUCES_10_4,PASS,2s 2c 4h 8h 3s,2c 2s 4h 8h,4 TO STRAIGHT FLUSH,2c 2s 4h 8h,21.1702,21.1702,0.0000,2 Deuces
BONUS_DEUCES_10_4,PASS,2s As Ac Ad Ah,2s Ac Ad Ah As,FIVE ACES,2s Ac Ad Ah As,400.0000,400.0000,0.0000,5 Aces (Pays 80)
BONUS_DEUCES_10_4,PASS,2s 4s 4c 4d 4h,2s 4c 4d 4h 4s,FIVE 3 4 5,2s 4c 4d 4h 4s,200.0000,200.0000,0.0000,5 3s-5s (Pays 40)
BONUS_DEUCES_10_4,PASS,2s Ts Js Qs Ks,2s Js Ks Qs Ts,WILD ROYAL,2s Js Ks Qs Ts,125.0000,125.0000,0.0000,Wild Royal
BONUS_DEUCES_10_4,PASS,2s 6h 6c 6d 6s,2s 6c 6d 6h 6s,FIVE 6 TO K,2s 6c 6d 6h 6s,100.0000,100.0000,0.0000,5 6-K (Pays 20)
BONUS_DEUCES_10_4,FAIL,2s 6h 7h 8h 9h,2s,1 DEUCE,2s 6h 7h 8h 9h,5.2870,125.0000,119.7130,Straight Flush
BONUS_DEUCES_10_4,PASS,2s 6h 7h 8h 4d,2s 6h 7h 8h,4 TO STRAIGHT FLUSH,2s 6h 7h 8h,22.3404,22.3404,0.0000,4 to Straight Flush
BONUS_DEUCES_10_4,FAIL,2s 8h 8c 8d 4s,2s,1 DEUCE,2s 8c 8d 8h,5.4580,26.8085,21.3505,Full House
BONUS_DEUCES_10_4,PASS,2s 6h 7h 5d 4c,2s 6h 7h,3 TO STRAIGHT FLUSH CONN,2s 6h 7h,6.8964,6.8964,0.0000,4 to SF (Gap/Conn check)
BONUS_DEUCES_10_4,FAIL,2s 8h 4h Th 3h,2s,1 DEUCE,2s 3h 4h 8h Th,5.0560,15.0000,9.9440,Flush (Pays 3)
BONUS_DEUCES_10_4,FAIL,2s 5h 6h 9d Td,2s 5h 6h,3 TO STRAIGHT FLUSH CONN,2s 9d Td,6.3367,6.9843,0.6475,3 to SF (Conn)
BONUS_DEUCES_10_4,PASS,2s Kh Qh 4d 5c,2s Kh Qh,3 TO ROYAL,2s Kh Qh,5.7262,5.7262,0.0000,3 to Royal
BONUS_DEUCES_10_4,PASS,2s 8h 8d 4c 5c,2s 8d 8h,3 OF A KIND,2s 8d 8h,9.3478,9.3478,0.0000,3 of a Kind (Pair + Deuce)
BONUS_DEUCES_10_4,FAIL,2s 4h 5h 6h 8h,2s,1 DEUCE,2s 4h 5h 6h 8h,5.1550,125.0000,119.8450,Straight (Pat)
BONUS_DEUCES_10_4,PASS,2s 4h 8d Jc Ks,2s,1 DEUCE,2s,5.1910,4.6850,-0.5060,1 Deuce (Generic)
BONUS_DEUCES_10_4,PASS,As Ks Qs Js Ts,As Js Ks Qs Ts,NATURAL ROYAL,As Js Ks Qs Ts,4000.0000,4000.0000,0.0000,Natural Royal
BONUS_DEUCES_10_4,PASS,As Ks Qs Js 9h,As Js Ks Qs,4 TO ROYAL,As Js Ks Qs,98.2979,98.2979,0.0000,4 to Royal
BONUS_DEUCES_10_4,PASS,9s 8s 7s 6s 5s,5s 6s 7s 8s 9s,STRAIGHT FLUSH,5s 6s 7s 8s 9s,50.0000,50.0000,0.0000,Straight Flush
BONUS_DEUCES_10_4,PASS,8s 8c 8h 4d 4s,4d 4s 8c 8h 8s,FULL HOUSE,4d 4s 8c 8h 8s,15.0000,15.0000,0.0000,Full House
BONUS_DEUCES_10_4,FAIL,Ks 8s 4s 3s 2h,2h,1 DEUCE,2h 3s 4s 8s Ks,5.4880,15.0000,9.5120,Flush
BONUS_DEUCES_10_4,PASS,4s 5d 6c 7h 8s,4s 5d 6c 7h 8s,STRAIGHT,4s 5d 6c 7h 8s,5.0000,5.0000,0.0000,Straight
BONUS_DEUCES_10_4,PASS,8s 8c 8h 4d 5s,8c 8h 8s,3 OF A KIND,8c 8h 8s,9.3478,9.3478,0.0000,3 of a Kind
BONUS_DEUCES_10_4,PASS,9s 8s 7s 6s 4d,6s 7s 8s 9s,4 TO STRAIGHT FLUSH,6s 7s 8s 9s,15.3191,15.3191,0.0000,4 to Straight Flush (Conn)
BONUS_DEUCES_10_4,PASS,Qs Js Ts 4d 5s,Js Qs Ts,3 TO ROYAL,Js Qs Ts,7.5439,7.5439,0.0000,3 to Royal
BONUS_DEUCES_10_4,PASS,Qs Ks 4s 8s 9d,4s 8s Ks Qs,4 TO FLUSH,4s 8s Ks Qs,3.8298,3.8298,0.0000,4 to Flush
BONUS_DEUCES_10_4,PASS,8s 8c 4d 5s 6h,8c 8s,ANY PAIR,8c 8s,2.6423,2.6423,0.0000,Pair
BONUS_DEUCES_10_4,PASS,As Ks 4d 5c 6h,As Ks,2 TO ROYAL,As Ks,1.4792,1.4792,0.0000,2 to Royal
BONUS_DEUCES_10_4,FAIL,As 4d 5c 8h 9s,,DISCARD ALL,,1.4743,1.4953,0.0210,Discard All (or Ace Sniper?)
AIRPORT,PASS,2s 2c 2h 2d 5s,2c 2d 2h 2s,4 DEUCES,2c 2d 2h 2s,1000.0000,1000.0000,0.0000,4 Deuces
AIRPORT,FAIL,2s 2c 2h Ts Qs,2c 2h 2s,3 DEUCES,2c 2h 2s Qs Ts,75.3191,100.0000,24.6809,Wild Royal
AIRPORT,PASS,2s 2c 2h 9s 9d,2c 2h 2s,3 DEUCES,2c 2h 2s,75.1341,75.1341,0.0000,3 Deuces (Holds over 5OAK)
AIRPORT,PASS,2s 2c 2h 4s 7d,2c 2h 2s,3 DEUCES,2c 2h 2s,75.2451,75.2451,0.0000,3 Deuces (Generic)
AIRPORT,FAIL,2s 2c Ts Qs Ks,2c 2s,2 DEUCES,2c 2s Ks Qs Ts,16.2140,100.0000,83.7860,Wild Royal
AIRPORT,PASS,2s 2c 6h 6d 6s,2c 2s 6d 6h 6s,FIVE OF A KIND,2c 2s 6d 6h 6s,60.0000,60.0000,0.0000,5 of a Kind
AIRPORT,FAIL,2s 2c 7h 8h 9h,2c 2s,2 DEUCES,2c 2s 7h 8h 9h,16.0413,100.0000,83.9587,Straight Flush
